1,Abbey Road,3,E15 3NB,51.531952,0.003738
2,Abbey Wood,4,SE2 9RH,51.490784,0.120286
3,Acton,3,W3 0BP,51.516887,-0.267676
4,Acton Central,2,W3 6BD,51.508758,-0.263416
5,Acton Town,3,W3 8HN,51.503071,-0.280288
6,Addington Village,"3,4,5,6",CR0 5AR,51.356239,-0.032651
7,Addiscombe,"3,4,5,6",CR0 7AA,51.379808,-0.073199
8,Albany Park,5,DA5 3HP,51.435816,0.126459
9,Aldgate,1,EC3N 1AH,51.514342,-0.075613
10,Aldgate East,1,E1 7PT,51.515082,-0.072987
11,Alexandra Palace,3,N22 7ST,51.598263,-0.120135
12,All Saints,2,E14 0EH,51.510477,-0.01261
13,Alperton,4,HA0 4LL,51.541209,-0.299501
14,Amersham,9,HP6 5AZ,51.674129,-0.606499
15,Ampere Way,"3,4,5,6",CR0 3JX,51.382299,-0.123622
16,Anerley,4,SE20 8AG,51.412517,-0.065123
17,Angel,1,N1 8XB,51.532968,-0.105567
18,Angel Road,4,N18 3AY,51.61242,-0.048718
19,Archway,"2,3",N19 5RQ,51.565491,-0.135107
20,Arena,"3,4,5,6",SE25 4RY,51.391523,-0.058304
21,Arnos Grove,4,N11 1AN,51.61623,-0.134256
22,Arsenal,2,N5 1LP,51.558541,-0.105486
23,Avenue Road,"3,4,5,6",BR3 4NJ,51.406798,-0.049433
24,Baker Street,1,NW1 5LA,51.52313,-0.15689
25,Balham,3,SW12 9SG,51.443183,-0.152671
26,Bank,1,EC3V 3LA,51.513347,-0.088986
27,Banstead,6,SM7 1RB,51.329293,-0.213118
28,Barbican,1,EC1A 4JA,51.520215,-0.097707
29,Barking,4,IG11 8TU,51.539521,0.080846
30,Barkingside,4,IG6 1NB,51.585851,0.088491
31,Barnehurst,6,DA7 6HQ,51.46478,0.160962
32,Barnes,3,SW13 0LW,51.467128,-0.242019
33,Barnes Bridge,3,SW13 0NR,51.472228,-0.252348
34,Barons Court,2,W14 9DP,51.490229,-0.213416
35,Battersea Park,2,SW8 4NB,51.477318,-0.148109
36,Bayswater,1,W2 4QH,51.512111,-0.187887
37,Beckenham Hill,4,SE6 3NU,51.424626,-0.016481
38,Beckenham Junction,4,BR3 1HY,51.410942,-0.025687
39,Beckenham Road,"3,4,5,6",BR3 4RR,51.40953,-0.043378
40,Beckton,3,E6 5NT,51.514377,0.06154
41,Beckton Park,3,E6 5NE,51.508901,0.054836
42,Becontree,5,RM9 4TP,51.539585,0.126895
43,Beddington Lane,"3,4,5,6",CR0 4TF,51.38924,-0.142124
44,Belgrave Walk,"3,4,5,6",CR4 4NY,51.400962,-0.178482
45,Bellingham,3,SE6 3BT,51.433865,-0.020397
46,Belmont,5,SM2 6BH,51.34412,-0.199475
47,Belsize Park,2,NW3 2AL,51.550191,-0.16396
48,Belvedere,5,DA17 6JW,51.491959,0.152048
49,Bermondsey,2,SE16 4RX,51.497961,-0.064316
50,Berrylands,5,KT5 8LT,51.398768,-0.280307
51,Bethnal Green,2,E2 0ET,51.527192,-0.055378
52,Bethnal Green Rail,2,E2 6JL,51.524283,-0.059999
53,Bexley,6,DA5 1AQ,51.440815,0.148218
54,Bexleyheath,5,DA7 4AA,51.46355,0.133377
55,Bickley,5,BR1 2EB,51.40038,0.044318
56,Birkbeck,4,BR3 4TA,51.403863,-0.056272
57,Blackfriars,1,EC4V 4DD,51.511587,-0.102981
58,Blackheath,3,SE3 9LE,51.465408,0.008351
59,Blackhorse Lane,"3,4,5,6",CR0 6NL,51.384746,-0.07052
60,Blackhorse Road,3,E17 6JJ,51.585777,-0.039611
61,Blackwall,2,E14 9QB,51.507832,-0.007221
62,Bond Street,1,W1C 2HU,51.513798,-0.149599
63,Borough,1,SE1 1JX,51.501049,-0.094183
64,Boston Manor,4,TW8 9LQ,51.495766,-0.324733
65,Bounds Green,"3,4",N11 2EU,51.607032,-0.124163
66,Bow Church,2,E3 3AA,51.527615,-0.020485
67,Bow Road,2,E3 4DH,51.527042,-0.024345
68,Bowes Park,"3,4",N22 8NL,51.60725,-0.119778
69,Brent Cross,3,NW11 9UA,51.576599,-0.213321
70,Brentford,4,TW8 9LF,51.487536,-0.309608
71,Brentwood,7,CM14 4EW,51.61361,0.299687
72,Brimsdown,5,EN3 7NA,51.655245,-0.031078
73,Brixton,2,SW9 8HE,51.462737,-0.114538
74,Brockley,2,SE4 2RW,51.46475,-0.037734
75,Bromley North,4,BR1 3NN,51.408942,0.01725
76,Bromley South,5,BR1 1LX,51.400001,0.017374
77,Bromley-by-Bow,"2,3",E3 3BT,51.52484,-0.011668
78,Brondesbury,2,NW6 7QL,51.545262,-0.202824
79,Brondesbury Park,2,NW6 6RP,51.540325,-0.21046
80,Broxbourne,9,EN10 7AW,51.747016,-0.01101
81,Bruce Grove,3,N17 8AD,51.594011,-0.070385
82,Buckhurst Hill,5,IG9 5ET,51.626577,0.046727
83,Burnt Oak,4,HA8 0LA,51.602552,-0.264316
84,Bush Hill Park,5,EN1 1BA,51.641482,-0.069266
85,Bushey,8,WD19 4ST,51.645544,-0.384707
86,Caledonian Road,2,N7 9BA,51.547885,-0.118346
87,Caledonian Road and Barnsbury,2,N1 0SL,51.543285,-0.11519
88,Cambridge Heath,2,E2 7NA,51.53206,-0.057189
89,Camden Road,2,NW1 9LQ,51.541851,-0.139189
90,Camden Town,2,NW1 8NH,51.539969,-0.142438
91,Canada Water,2,SE16 7BB,51.498168,-0.050793
92,Canary Wharf,2,E14 4QS,51.503578,-0.019452
93,Canning Town,3,E16 1DQ,51.51387,0.00832
94,Cannon Street,1,EC4N 6AP,51.511362,-0.090236
95,Canonbury,2,N1 2PG,51.548188,-0.09256
96,Canons Park,5,HA8 6RN,51.607651,-0.294377
97,Carpenders Park,7,WD19 7DT,51.628187,-0.385815
98,Carshalton,5,SM5 2HT,51.368426,-0.166384
99,Carshalton Beeches,5,SM5 3LG,51.357387,-0.169482
100,Castle Bar Park,4,W7 1AY,51.522974,-0.33149
101,Caterham,6,CR3 6LB,51.282163,-0.078593
102,Catford,3,SE6 4XT,51.444265,-0.026524
103,Catford Bridge,3,SE6 4RE,51.444695,-0.024807
104,Centrale,"3,4,5,6",CR0 1XT,51.375767,-0.103874
105,Chadwell Heath,5,RM6 4BE,51.568047,0.128916
106,Chafford Hundred,7,RM16 6QQ,51.485554,0.28749
107,Chalfont and Latimer,8,HP7 9PR,51.667908,-0.561053
108,Chalk Farm,2,NW3 2BP,51.544149,-0.153719
109,Chancery Lane,1,WC1V 6DR,51.518494,-0.111948
110,Charing Cross,1,WC2N 5HS,51.508359,-0.124789
111,Charlton,3,SE7 7AB,51.486835,0.030956
112,Cheam,5,SM3 8RZ,51.35546,-0.214197
113,Chelsfield,6,BR6 6EU,51.356265,0.108998
114,Chesham,9,HP5 1DH,51.70538,-0.611415
115,Cheshunt,8,EN8 9AQ,51.702873,-0.023873
116,Chessington North,6,KT9 2RT,51.364243,-0.300462
117,Chessington South,6,KT9 2DD,51.356705,-0.307075
118,Chigwell,4,IG7 6NT,51.617858,0.076194
119,Chingford,5,E4 6AL,51.633253,0.009529
120,Chipstead,6,CR5 3TD,51.309275,-0.169432
121,Chislehurst,5,BR7 5NN,51.405598,0.057506
122,Chiswick,3,W4 2QE,51.480782,-0.266999
123,Chiswick Park,3,W4 5NE,51.494371,-0.267723
124,Chorleywood,7,WD3 5ND,51.654266,-0.518319
125,Church Street,"3,4,5,6",CR0 1RN,51.373707,-0.104332
126,City Thameslink,1,EC4M 7JH,51.513935,-0.103604
127,Clapham Common,2,SW4 7AJ,51.461804,-0.138301
128,Clapham High Street,2,SW4 6DQ,51.46547,-0.13245
129,Clapham Junction,2,SW11 2QP,51.464367,-0.170301
130,Clapham North,2,SW4 7TS,51.464916,-0.129896
131,Clapham South,"2,3",SW12 9DU,51.452677,-0.14797
132,Clapton,2,E5 9JP,51.561569,-0.057475
133,Clock House,4,BR3 4PR,51.408541,-0.040688
134,Cobham and Stoke D'Abernon,,KT11 3BW,51.318347,-0.389022
135,Cockfosters,5,EN4 0DZ,51.652024,-0.149902
136,Colindale,4,NW9 5HR,51.595231,-0.250273
137,Colliers Wood,3,SW19 2HR,51.418759,-0.177401
138,Coombe Lane,"3,4,5,6",CR0 5RF,51.359789,-0.059517
139,Coulsdon South,6,CR5 3EA,51.315801,-0.137889
140,Covent Garden,1,WC2E 9JT,51.51276,-0.124492
141,Crayford,6,DA1 3PY,51.448547,0.178517
142,Crews Hill,6,EN2 8AY,51.684475,-0.10683
143,Cricklewood,3,NW2 1HL,51.558423,-0.212534
144,Crofton Park,3,SE4 2RA,51.455179,-0.036532
145,Crossharbour and London Arena,2,E14 8AD,51.49584,-0.014918
146,Crouch Hill,3,N4 4AU,51.571327,-0.117119
147,Croxley,7,WD3 3DY,51.647005,-0.441589
148,Crystal Palace,"3,4",SE19 2AZ,51.41817,-0.072593
149,Custom House,3,E16 3BX,51.509622,0.025787
150,Cutty Sark for Maritime Greenwich,2,SE10 9SW,51.481944,-0.010567
151,Cyprus,3,E6 5PH,51.508527,0.063855
152,Dagenham Dock,5,RM9 6RA,51.526287,0.145045
153,Dagenham East,5,RM10 8AA,51.544187,0.165848
154,Dagenham Heathway,5,RM9 5AN,51.541212,0.147694
155,Dalston Junction,2,E8 3DL,51.546094,-0.07498
156,Dalston Kingsland,2,E8 2JS,51.548668,-0.076213
157,Dartford,,DA1 1BP,51.4474,0.218098
158,Debden,6,IG10 3TG,51.645492,0.083816
159,Denmark Hill,2,SE5 8BB,51.468201,-0.090973
160,Deptford,2,SE8 3NU,51.47889,-0.026182
161,Deptford Bridge,"2,3",SE10 8BU,51.474477,-0.022038
162,Devons Road,2,E3 3QX,51.522258,-0.017993
163,Dollis Hill,3,NW10 5NB,51.551851,-0.238783
164,Drayton Green,4,W13 0JX,51.516005,-0.329597
165,Drayton Park,2,N5 1NT,51.553078,-0.105756
166,Dundonald Road,"3,4,5,6",SW19 3QJ,51.417398,-0.207513
167,Ealing Broadway,3,W5 2NU,51.514862,-0.301996
168,Ealing Common,3,W5 3LD,51.510249,-0.287137
169,Earls Court,"1,2",SW5 9QA,51.491357,-0.194299
170,Earlsfield,3,SW18 4SW,51.442239,-0.187258
171,East Acton,2,W12 0BP,51.516263,-0.248098
172,East Croydon,5,CR0 1LF,51.375716,-0.091849
173,East Dulwich,2,SE22 8EF,51.461626,-0.080422
174,East Finchley,3,N2 0NW,51.587333,-0.164729
175,East Ham,"3,4",E6 2JA,51.539246,0.051531
176,East India,"2,3",E14 9PS,51.508684,-0.002356
177,East Putney,"2,3",SW15 6SN,51.45888,-0.210984
178,Eastcote,5,HA5 1QZ,51.576552,-0.396809
179,Eden Park,5,BR3 3HQ,51.390796,-0.026655
180,Edgware,5,HA8 7AW,51.61423,-0.275079
181,Edgware Road (Bakerloo),1,W2 1DY,51.520645,-0.170525
182,Edgware Road (Circle/District/Hammersmith and City),1,NW1 5DH,51.519998,-0.167654
183,Edmonton Green,4,N9 9DX,51.625116,-0.061625
184,Elephant and Castle,"1,2",SE1 6LW,51.495849,-0.100724
185,Elm Park,6,RM12 4RW,51.549125,0.197267
186,Elmers End,4,BR3 4EJ,51.398291,-0.049449
187,Elmstead Woods,4,BR7 5EW,51.417081,0.044244
188,Elstree and Borehamwood,6,WD6 3LS,51.652876,-0.279814
189,Eltham,4,SE9 6UB,51.455662,0.052344
190,Elverson Road,"2,3",SE8 4LA,51.468372,-0.016802
191,Embankment,1,WC2N 6NS,51.507313,-0.122353
192,Emerson Park,6,RM11 2JR,51.569115,0.220237
193,Enfield Chase,5,EN2 7AA,51.652722,-0.09069
194,Enfield Lock,6,EN3 6BW,51.670846,-0.028377
195,Enfield Town,5,EN1 1YB,51.65197,-0.079315
196,Epping,6,CM16 4HW,51.693686,0.11384
197,Epsom Downs,6,KT17 4JX,51.323659,-0.238956
198,Erith,6,DA8 1TY,51.481648,0.174276
199,Essex Road,2,N1 2SU,51.540633,-0.096351
200,Euston,1,NW1 2DU,51.528664,-0.133282
201,Euston Square,1,NW1 2BN,51.528664,-0.133282
202,Ewell East,6,KT17 1QR,51.345244,-0.241489
203,Ewell West,6,KT17 1TU,51.349991,-0.257075
204,Fairlop,4,IG6 3HD,51.59611,0.090608
205,Falconwood,4,SE9 2RN,51.459086,0.078524
206,Farringdon,1,EC1M 6BY,51.520196,-0.104829
207,Feltham,6,TW13 4BY,51.447879,-0.40981
208,Fenchurch Street,1,EC3M 4AJ,51.511567,-0.07854
209,Fieldway,"3,4,5,6",CR0 0QA,51.351317,-0.024489
210,Finchley Central,4,N3 2RY,51.600903,-0.193206
211,Finchley Road,2,NW6 3BS,51.547096,-0.180036
212,Finchley Road and Frognal,2,NW3 5HT,51.55012,-0.183637
213,Finsbury Park,2,N4 3JU,51.564635,-0.105867
214,Forest Gate,3,E7 0QH,51.549316,0.024204
215,Forest Hill,3,SE23 3HD,51.439308,-0.053314
216,Fulham Broadway,2,SW6 1BY,51.480261,-0.19553
217,Fulwell,6,TW2 5NY,51.433943,-0.349424
218,Gallions Reach,3,E6 6FZ,51.509034,0.07179
219,Gants Hill,4,IG2 6UD,51.576553,0.066099
220,George Street,"3,4,5,6",CRO 1LA,51.373966,-0.098704
221,Gidea Park,6,RM2 6BX,51.581866,0.205991
222,Gipsy Hill,3,SE19 1PL,51.42447,-0.083821
223,Gloucester Road,1,SW7 4SF,51.4945,-0.183529
224,Golders Green,3,NW11 7RN,51.572216,-0.19482
225,Goldhawk Road,2,W12 8EG,51.502077,-0.22739
226,Goodge Street,1,W1T 2HF,51.520613,-0.134793
227,Goodmayes,4,IG3 9UH,51.566181,0.111744
